,t_vals,flux_ratio_vals
3299,16595,0.5897641019272227
3300,16600,0.5897580731673138
3301,16605,0.5897520482221311
3302,16610,0.5897460270880601
3303,16615,0.5897400097614904
3304,16620,0.5897339962388166
3305,16625,0.5897279865164375
3306,16630,0.5897219805907563
3307,16635,0.5897159784581811
3308,16640,0.5897099801151243
3309,16645,0.5897039855580032
3310,16650,0.5896979947832388
3311,16655,0.5896920077872575
3312,16660,0.5896860245664897
3313,16665,0.5896800451173703
3314,16670,0.5896740694363387
3315,16675,0.589668097519839
3316,16680,0.5896621293643196
3317,16685,0.5896561649662333
3318,16690,0.5896502043220374
3319,16695,0.5896442474281939
3320,16700,0.5896382942811687
3321,16705,0.5896323448774327
3322,16710,0.5896263992134608
3323,16715,0.5896204572857326
3324,16720,0.5896145190907319
3325,16725,0.5896085846249471
3326,16730,0.5896026538848709
3327,16735,0.5895967268670004
3328,16740,0.5895908035678369
3329,16745,0.5895848839838865
3330,16750,0.5895789681116593
3331,16755,0.5895730559476698
3332,16760,0.5895671474884373
3333,16765,0.5895612427304849
3334,16770,0.5895553416703401
3335,16775,0.5895494443045352
3336,16780,0.589543550629606
3337,16785,0.5895376606420936
3338,16790,0.5895317743385428
3339,16795,0.5895258917155027
3340,16800,0.5895200127695273
3341,16805,0.589514137497174
3342,16810,0.5895082658950053
3343,16815,0.5895023979595875
3344,16820,0.5894965336874912
3345,16825,0.5894906730752913
3346,16830,0.5894848161195673
3347,16835,0.5894789628169026
3348,16840,0.5894731131638851
3349,16845,0.5894672671571065
3350,16850,0.5894614247931632
3351,16855,0.5894555860686557
3352,16860,0.5894497509801886
3353,16865,0.5894439195243708
3354,16870,0.5894380916978154
3355,16875,0.5894322674971397
3356,16880,0.5894264469189654
3357,16885,0.589420629959918
3358,16890,0.5894148166166273
3359,16895,0.5894090068857276
3360,16900,0.5894032007638572
3361,16905,0.5893973982476581
3362,16910,0.5893915993337774
3363,16915,0.5893858040188653
3364,16920,0.5893800122995768
3365,16925,0.5893742241725712
3366,16930,0.5893684396345112
3367,16935,0.5893626586820644
3368,16940,0.5893568813119021
3369,16945,0.5893511075206995
3370,16950,0.5893453373051367
3371,16955,0.589339570661897
3372,16960,0.5893338075876685
3373,16965,0.5893280480791429
3374,16970,0.5893222921330158
3375,16975,0.5893165397459879
3376,16980,0.589310790914763
3377,16985,0.5893050456360495
3378,16990,0.589299303906559
3379,16995,0.5892935657230087
3380,17000,0.5892878310821182
3381,17005,0.5892820999806121
3382,17010,0.5892763724152189
3383,17015,0.5892706483826708
3384,17020,0.5892649278797047
3385,17025,0.5892592109030604
3386,17030,0.5892534974494829
3387,17035,0.5892477875157205
3388,17040,0.5892420810985255
3389,17045,0.5892363781946545
3390,17050,0.589230678800868
3391,17055,0.5892249829139302
3392,17060,0.5892192905306098
3393,17065,0.589213601647679
3394,17070,0.589207916261914
3395,17075,0.589202234370095
3396,17080,0.5891965559690064
3397,17085,0.5891908810554364
3398,17090,0.5891852096261767
3399,17095,0.5891795416780238
3400,17100,0.5891738772077775
3401,17105,0.5891682162122412
3402,17110,0.5891625586882233
3403,17115,0.5891569046325349
3404,17120,0.5891512540419922
3405,17125,0.589145606913414
3406,17130,0.589139963243624
3407,17135,0.5891343230294495
3408,17140,0.5891286862677211
3409,17145,0.5891230529552742
3410,17150,0.5891174230889477
3411,17155,0.5891117966655842
3412,17160,0.58910617368203
3413,17165,0.5891005541351355
3414,17170,0.5890949380217552
3415,17175,0.589089325338747
3416,17180,0.5890837160829729
3417,17185,0.5890781102512984
3418,17190,0.5890725078405931
3419,17195,0.5890669088477303
3420,17200,0.5890613132695873
3421,17205,0.589055721103045
3422,17210,0.5890501323449878
3423,17215,0.5890445469923046
3424,17220,0.5890389650418877
3425,17225,0.5890333864906327
3426,17230,0.5890278113354401
3427,17235,0.5890222395732131
3428,17240,0.5890166712008592
3429,17245,0.5890111062152894
3430,17250,0.5890055446134187
3431,17255,0.5889999863921653
3432,17260,0.5889944315484524
3433,17265,0.5889888800792054
3434,17270,0.5889833319813543
3435,17275,0.5889777872518326
3436,17280,0.5889722458875772
3437,17285,0.5889667078855297
3438,17290,0.5889611732426343
3439,17295,0.5889556419558394
3440,17300,0.5889501140220972
3441,17305,0.588944589438363
3442,17310,0.5889390682015969
3443,17315,0.5889335503087613
3444,17320,0.5889280357568232
3445,17325,0.588922524542753
3446,17330,0.5889170166635246
3447,17335,0.5889115121161161
3448,17340,0.5889060108975085
3449,17345,0.5889005130046869
3450,17350,0.58889501843464
3451,17355,0.58888952718436
3452,17360,0.5888840392508428
3453,17365,0.588878554631088
3454,17370,0.5888730733220986
3455,17375,0.5888675953208812
3456,17380,0.5888621206244465
3457,17385,0.5888566492298081
3458,17390,0.5888511811339838
3459,17395,0.5888457163339945
3460,17400,0.5888402548268652
3461,17405,0.5888347966096236
3462,17410,0.588829341679302
3463,17415,0.5888238900329357
3464,17420,0.5888184416675638
3465,17425,0.5888129965802285
3466,17430,0.5888075547679761
3467,17435,0.588802116227856
3468,17440,0.5887966809569218
3469,17445,0.5887912489522297
3470,17450,0.5887858202108401
3471,17455,0.5887803947298169
3472,17460,0.5887749725062272
3473,17465,0.5887695535371417
3474,17470,0.5887641378196348
3475,17475,0.588758725350784
3476,17480,0.5887533161276711
3477,17485,0.5887479101473804
3478,17490,0.5887425074070003
3479,17495,0.5887371079036227
3480,17500,0.5887317116343423
3481,17505,0.5887263185962585
3482,17510,0.588720928786473
3483,17515,0.5887155422020913
3484,17520,0.5887101588402229
3485,17525,0.5887047786979799
3486,17530,0.5886994017724783
3487,17535,0.5886940280608376
3488,17540,0.5886886575601807
3489,17545,0.5886832902676338
3490,17550,0.5886779261803265
3491,17555,0.5886725652953919
3492,17560,0.5886672076099667
3493,17565,0.5886618531211907
3494,17570,0.588656501826207
3495,17575,0.5886511537221628
3496,17580,0.588645808806208
3497,17585,0.5886404670754958
3498,17590,0.5886351285271836
3499,17595,0.5886297931584313
3500,17600,0.5886244609664028
3501,17605,0.588619131948265
3502,17610,0.5886138061011884
3503,17615,0.5886084834223465
3504,17620,0.5886031639089165
3505,17625,0.5885978475580789
3506,17630,0.5885925343670174
3507,17635,0.5885872243329193
3508,17640,0.5885819174529747
3509,17645,0.5885766137243778
3510,17650,0.5885713131443255
3511,17655,0.5885660157100182
3512,17660,0.5885607214186599
3513,17665,0.5885554302674573
3514,17670,0.5885501422536209
3515,17675,0.5885448573743645
3516,17680,0.5885395756269047
3517,17685,0.588534297008462
3518,17690,0.5885290215162601
3519,17695,0.5885237491475255
3520,17700,0.5885184798994884
3521,17705,0.588513213769382
3522,17710,0.5885079507544433
3523,17715,0.5885026908519118
3524,17720,0.5884974340590309
3525,17725,0.5884921803730467
3526,17730,0.5884869297912092
3527,17735,0.5884816823107709
3528,17740,0.5884764379289882
3529,17745,0.5884711966431204
3530,17750,0.58846595845043
3531,17755,0.5884607233481828
3532,17760,0.5884554913336476
3533,17765,0.5884502624040973
3534,17770,0.5884450365568066
3535,17775,0.5884398137890545
3536,17780,0.5884345940981229
3537,17785,0.5884293774812964
3538,17790,0.5884241639358638
3539,17795,0.5884189534591163
3540,17800,0.5884137460483484
3541,17805,0.5884085417008578
3542,17810,0.5884033404139456
3543,17815,0.5883981421849157
3544,17820,0.5883929470110757
3545,17825,0.5883877548897358
3546,17830,0.5883825658182095
3547,17835,0.5883773797938138
3548,17840,0.5883721968138681
3549,17845,0.588367016875696
3550,17850,0.5883618399766232
3551,17855,0.588356666113979
3552,17860,0.588351495285096
3553,17865,0.5883463274873096
3554,17870,0.5883411627179587
3555,17875,0.5883360009743845
3556,17880,0.5883308422539321
3557,17885,0.5883256865539495
3558,17890,0.588320533871788
3559,17895,0.5883153842048012
3560,17900,0.5883102375503466
3561,17905,0.5883050939057846
3562,17910,0.5882999532684786
3563,17915,0.5882948156357949
3564,17920,0.588289681005103
3565,17925,0.5882845493737758
3566,17930,0.5882794207391887
3567,17935,0.5882742950987206
3568,17940,0.5882691724497532
3569,17945,0.5882640527896712
3570,17950,0.5882589361158627
3571,17955,0.5882538224257186
3572,17960,0.5882487117166325
3573,17965,0.5882436039860018
3574,17970,0.5882384992312265
3575,17975,0.5882333974497093
3576,17980,0.5882282986388563
3577,17985,0.5882232027960769
3578,17990,0.5882181099187828
3579,17995,0.5882130200043891
3580,18000,0.588207933050314
3581,18005,0.5882028490539788
3582,18010,0.5881977680128069
3583,18015,0.5881926899242259
3584,18020,0.5881876147856657
3585,18025,0.5881825425945593
3586,18030,0.5881774733483428
3587,18035,0.5881724070444547
3588,18040,0.5881673436803374
3589,18045,0.5881622832534354
3590,18050,0.588157225761197
3591,18055,0.5881521712010725
3592,18060,0.5881471195705161
3593,18065,0.588142070866984
3594,18070,0.588137025087936
3595,18075,0.588131982230835
3596,18080,0.5881269422931459
